F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,lables
87,84,63,92,61,26,11,4,25,24,33,74,87,4,8,69,26,7,77,45,37,44,20,98,68,18,96
23,59,59,8,34,31,89,25,4,58,45,2,26,85,19,72,11,21,61,67,22,20,88,68,40,60,50
6,52,92,24,49,19,36,73,4,67,87,97,88,69,91,81,29,86,49,34,37,14,73,26,3,57,70
37,82,79,61,57,7,48,73,3,60,44,86,62,77,43,47,98,68,3,43,28,11,79,22,64,87,24
85,75,41,57,20,79,35,81,77,69,73,64,81,40,73,36,8,2,78,32,22,25,23,17,31,45,36
25,24,67,11,8,75,88,38,4,97,50,16,17,79,83,56,25,42,89,91,61,37,100,50,99,75,77
10,67,84,4,42,98,7,19,45,70,71,49,81,33,98,23,35,83,93,95,71,91,24,65,51,72,43
23,44,52,9,89,62,3,93,42,20,8,59,14,58,92,15,0,40,9,36,63,99,21,68,98,52,1
18,79,65,56,87,69,43,1,97,9,94,52,88,22,32,75,87,37,14,1,99,84,3,54,38,91,12
29,40,52,34,23,0,30,33,6,76,52,61,95,55,86,90,31,34,29,87,0,7,90,4,6,62,71
97,50,50,10,65,95,74,2,58,62,64,75,74,59,99,58,54,25,31,64,75,91,7,23,12,15,90
80,11,67,67,35,76,80,9,66,58,10,80,34,68,11,72,67,61,4,12,52,21,21,17,54,2,41
13,52,58,37,97,11,71,93,32,85,47,42,56,16,20,5,65,46,87,25,36,30,15,23,13,22,97
0,45,19,18,57,84,16,87,91,100,93,21,65,10,2,8,67,52,72,68,100,88,13,95,62,41,82
64,0,20,32,49,2,21,67,75,26,10,53,46,0,23,36,52,30,16,74,20,49,78,16,33,75,41
31,80,33,74,10,5,38,24,20,66,86,24,46,37,42,16,17,68,83,17,76,30,39,81,74,64,64
43,86,23,52,33,47,72,60,72,8,92,28,72,52,71,8,79,48,78,57,16,21,12,8,2,16,37
24,17,40,62,80,18,10,10,30,38,46,12,16,8,20,66,14,31,8,3,1,91,19,4,70,0,91
46,94,97,97,81,80,94,74,11,62,99,6,43,47,13,34,49,89,38,15,75,39,1,3,45,43,15
0,20,77,9,40,64,91,38,39,49,67,82,92,31,61,25,64,33,3,49,32,55,7,97,92,100,91
87,3,76,54,51,11,14,95,52,58,43,9,81,24,51,53,54,96,29,8,59,35,13,77,92,57,36
44,16,13,51,17,98,84,17,32,63,17,56,94,65,73,25,65,37,39,77,72,42,47,15,80,5,95
60,54,66,73,72,47,35,42,75,93,32,4,70,6,68,58,44,56,50,40,21,30,17,6,58,92,46
96,64,21,53,85,78,88,43,43,53,96,11,100,80,57,37,55,25,79,59,60,27,65,0,76,22,28
71,79,69,34,30,87,90,31,8,44,20,23,62,48,28,62,88,49,41,82,17,70,86,79,29,40,38
69,26,57,30,91,3,67,1,75,46,100,14,48,80,67,30,11,81,49,45,37,91,97,66,61,65,74
62,52,63,16,78,1,78,10,23,64,39,94,17,48,96,61,40,32,54,48,92,15,24,22,68,99,37
79,26,82,27,14,17,93,10,68,35,99,0,43,66,46,33,82,18,20,87,13,38,69,45,75,75,76
53,51,11,76,95,5,56,1,55,84,72,84,10,80,98,36,59,3,64,62,52,35,63,1,14,51,5
85,68,82,6,21,23,43,53,29,44,50,55,82,98,87,90,62,33,80,57,56,40,90,34,40,75,77
78,77,94,99,31,45,1,8,0,54,73,42,94,82,0,91,0,20,72,34,77,35,24,21,83,13,4
80,28,93,34,51,61,0,32,88,61,15,27,38,93,62,71,12,4,44,73,23,6,40,31,77,7,60
43,41,94,23,91,92,73,19,80,27,35,69,67,52,14,56,92,35,99,53,6,34,20,44,83,71,99
46,53,90,60,86,70,98,26,24,73,95,52,53,30,68,60,39,15,45,62,86,95,79,95,24,92,100
81,13,57,2,16,96,8,3,66,8,56,83,64,42,33,69,96,43,80,66,85,76,68,49,72,43,16
13,40,43,87,12,51,33,87,56,58,84,37,44,55,0,7,34,73,11,0,62,24,9,40,1,80,52
70,86,33,19,59,75,66,74,80,27,6,0,32,97,33,26,86,65,20,38,36,38,73,26,68,88,89
69,69,28,72,95,6,74,25,25,74,35,1,10,56,19,47,16,81,77,91,18,90,12,22,17,76,81
68,38,98,70,82,69,4,9,79,24,63,63,88,13,45,86,23,81,43,66,64,84,44,82,23,67,79
98,18,46,65,97,90,70,27,86,94,83,92,21,100,65,94,59,13,72,100,88,63,2,85,79,95,63
66,23,55,97,44,3,84,77,99,26,96,37,86,40,45,96,97,2,1,18,3,38,79,100,8,59,99
2,37,12,97,74,85,48,42,81,53,19,58,17,81,18,25,95,31,4,24,6,92,6,7,29,34,30
29,96,83,15,14,85,47,95,63,18,49,42,19,16,83,23,50,94,59,72,79,25,13,90,29,83,16
82,10,3,43,73,100,65,99,95,17,49,2,79,38,94,17,46,0,28,11,50,53,65,45,100,8,24
13,64,92,100,14,6,38,7,41,88,40,28,42,42,55,72,73,85,20,19,60,8,46,28,79,64,36
13,35,51,23,47,33,9,78,55,99,68,11,7,91,66,57,48,86,23,35,39,19,61,82,59,39,7
14,93,31,2,51,76,15,15,35,68,67,19,3,28,6,76,17,25,68,20,26,94,67,56,49,80,52
23,36,99,97,39,59,96,13,47,3,61,60,62,43,57,74,89,42,60,10,87,13,74,79,2,8,66
71,93,50,25,68,18,51,34,44,56,69,100,9,19,28,95,66,39,41,40,89,42,25,33,8,48,12
93,87,16,12,81,49,14,98,1,90,17,65,26,52,16,30,38,58,22,76,83,34,82,37,4,58,5
64,63,43,0,52,50,13,55,89,10,36,32,46,93,69,64,46,89,2,29,6,80,76,19,44,21,65
40,81,26,4,22,2,27,2,35,73,24,66,60,34,9,46,88,6,21,46,86,82,55,15,30,46,54
96,86,80,14,75,54,99,36,49,98,6,46,70,85,41,89,1,0,58,89,46,0,60,26,25,23,67
78,42,65,81,16,13,71,79,29,40,17,39,99,47,16,43,57,66,18,71,76,4,57,99,1,2,4
10,51,58,16,92,5,78,52,61,84,46,96,99,16,97,41,23,63,68,4,4,29,29,15,92,51,30
70,77,18,6,53,23,69,6,89,0,73,74,23,91,49,100,63,67,93,2,4,90,75,54,62,42,61
88,8,13,10,48,87,47,58,18,2,13,53,68,73,51,86,51,13,35,39,19,59,47,14,67,94,45
44,18,42,69,47,77,86,26,46,67,28,46,43,64,100,69,81,51,27,89,46,100,51,27,81,3,76
87,51,51,27,51,29,1,81,18,27,62,53,9,92,66,11,70,8,26,88,87,2,81,74,6,76,28
32,9,13,41,65,5,8,0,34,73,89,35,8,35,95,7,0,66,32,27,12,33,21,79,58,26,95
50,2,100,54,62,6,31,27,91,60,76,36,12,41,9,12,81,45,55,16,27,1,55,14,46,32,31
26,56,65,11,10,98,5,84,45,18,20,8,87,63,20,51,83,58,20,96,16,79,19,81,87,15,61
69,50,61,55,98,55,38,5,94,41,47,60,28,45,93,66,45,66,40,18,35,22,88,2,64,30,20
24,4,28,37,45,8,62,91,54,25,37,74,4,61,45,34,40,4,71,98,88,30,50,77,37,19,45
20,12,91,71,31,56,62,75,10,12,5,70,17,41,43,37,40,0,60,63,42,30,32,18,40,43,47
36,45,84,3,51,57,45,54,39,17,83,69,53,87,46,45,61,73,59,4,21,10,47,23,85,65,96
88,78,33,43,29,45,100,69,29,34,95,80,62,9,92,35,95,99,69,90,49,61,92,75,78,24,85
73,97,61,77,63,32,63,74,83,78,30,91,88,71,20,36,6,48,32,21,71,35,18,74,65,68,48
51,38,60,13,76,96,20,33,62,12,44,36,48,10,96,69,8,43,15,47,98,21,16,21,98,52,38
60,17,33,58,89,84,2,60,80,52,30,78,87,16,74,46,61,67,56,79,90,23,5,20,71,19,6
85,56,14,72,77,75,61,61,87,50,83,53,66,37,99,86,18,62,99,2,37,73,33,22,76,34,60
46,96,5,46,92,53,28,65,4,19,31,22,44,68,57,55,83,83,24,64,40,40,1,55,43,6,27
47,42,44,28,12,77,53,74,20,27,2,68,51,74,6,44,55,52,93,95,54,72,77,37,88,40,49
99,31,38,94,32,27,69,49,21,22,76,96,9,83,97,82,78,63,75,10,76,25,31,9,63,56,25
64,54,80,59,49,39,74,75,92,43,14,19,35,84,56,51,39,50,91,20,92,36,11,28,43,84,16
90,28,13,75,1,42,90,61,55,5,34,48,78,3,91,53,57,43,5,41,64,19,5,60,96,4,41
7,31,33,11,79,53,9,19,31,41,49,39,67,67,45,33,13,25,71,17,93,8,81,2,82,57,66
4,50,80,7,61,76,56,64,69,99,42,36,1,16,23,18,78,60,16,13,21,97,97,65,31,84,58
86,32,97,44,98,69,59,44,49,44,63,26,90,55,35,49,73,3,64,13,79,73,1,42,21,82,60
46,20,25,85,71,14,34,37,47,12,98,100,51,76,59,95,46,53,27,31,26,2,80,21,15,62,8
56,47,15,32,8,12,17,12,65,97,66,59,95,78,14,7,88,96,25,20,89,60,23,61,32,17,31
33,34,34,27,46,84,22,20,55,42,86,22,56,15,22,81,96,73,83,65,15,2,61,62,41,74,53
17,76,87,96,76,15,14,27,63,3,31,32,7,22,52,31,19,83,72,64,18,86,37,41,63,12,28
96,38,59,56,34,98,59,22,47,25,21,19,16,15,38,15,88,52,60,79,71,49,47,26,99,25,5
100,95,88,49,92,10,83,42,63,30,62,77,87,20,9,29,70,60,52,32,8,12,23,66,22,17,19
87,65,34,100,98,49,78,2,46,22,20,56,55,11,6,52,65,60,19,66,91,93,64,80,95,3,79
24,46,63,96,55,39,90,40,87,11,10,36,58,74,15,93,19,15,80,74,83,47,61,79,90,31,54
58,14,40,0,41,6,64,88,12,34,20,44,68,60,80,56,86,30,90,56,71,25,72,46,59,28,59
74,37,73,29,16,31,67,29,53,58,16,73,9,78,1,22,10,22,0,38,3,74,5,84,41,5,76
77,69,54,37,40,58,77,92,45,58,98,48,78,82,77,33,64,100,72,94,12,28,40,8,11,15,0
20,68,43,49,78,86,97,38,82,79,9,94,96,42,43,89,34,79,42,15,55,5,36,3,99,77,72
46,28,8,89,52,30,51,27,21,13,74,43,40,31,100,73,12,52,59,8,24,100,25,25,45,47,36
89,34,29,100,95,69,35,24,89,39,100,26,33,98,56,66,10,19,37,91,22,9,33,0,14,90,31
52,35,63,68,29,6,16,77,3,90,97,46,0,19,51,12,1,4,31,46,61,7,42,65,46,95,89
48,27,15,2,5,15,20,96,70,35,2,4,85,74,36,27,96,79,66,23,60,74,88,80,48,51,33
62,98,71,39,26,74,4,25,12,42,29,82,91,47,55,8,30,50,50,3,39,31,95,40,75,75,1
90,52,74,81,46,20,5,17,22,31,7,26,26,57,53,60,14,64,48,40,99,13,19,64,41,7,83
93,31,39,33,69,27,11,76,0,69,81,38,35,86,41,43,22,3,60,74,51,92,0,48,16,22,18
66,86,91,79,46,78,10,53,38,98,80,95,74,39,41,30,81,7,19,28,75,35,10,90,84,43,23
91,49,10,97,47,10,14,24,66,12,33,90,61,37,21,77,17,83,78,90,8,37,94,25,91,18,95
69,78,15,2,96,75,38,40,63,9,88,73,79,9,27,67,50,83,75,23,91,18,78,29,49,10,40
92,16,35,18,55,62,23,63,67,35,18,66,68,53,46,26,69,13,29,19,70,98,28,98,89,0,9
67,19,83,35,27,52,16,88,41,85,13,97,60,23,91,51,72,32,97,51,77,44,13,6,85,75,52
67,10,1,21,46,40,40,23,71,35,27,77,16,61,69,98,14,52,35,90,31,3,21,54,87,12,62
55,40,2,59,32,31,67,49,78,66,63,63,88,16,78,57,69,46,56,13,32,10,8,22,74,37,94
31,78,85,64,100,97,56,100,22,95,89,48,80,58,65,50,71,22,64,28,18,65,11,5,30,70,56
99,33,29,24,65,39,84,92,54,15,7,11,15,87,63,28,52,77,88,79,5,52,78,27,100,52,12
36,15,71,31,57,34,89,2,42,56,64,60,44,38,65,76,92,25,59,2,13,18,82,28,57,35,48
7,11,66,27,39,58,85,60,37,5,11,63,87,91,36,91,57,73,73,97,76,75,90,33,19,34,50
6,48,28,25,96,84,62,79,22,73,32,55,25,63,46,12,69,74,49,40,90,29,91,13,89,53,9
5,53,36,79,78,77,100,55,9,22,25,62,57,99,94,51,18,93,41,99,49,8,10,30,17,72,47
23,51,47,97,77,67,37,79,14,62,41,39,65,56,69,20,47,74,74,92,57,15,31,25,67,15,59
24,62,25,47,25,45,28,2,66,72,62,27,50,100,73,25,43,82,28,0,24,33,68,75,76,98,65
94,38,46,79,32,17,45,8,67,0,41,87,9,83,96,81,10,10,67,33,82,26,3,25,18,80,50
57,30,8,21,54,76,85,51,34,45,36,81,69,34,41,67,39,12,28,60,40,64,52,2,97,67,2
36,42,53,33,51,24,24,44,51,49,82,91,33,77,83,97,58,68,88,21,36,25,13,70,3,66,75
38,87,59,13,52,76,94,97,74,16,26,75,86,94,66,15,38,40,65,61,21,43,25,48,19,86,60
17,59,44,77,91,4,49,8,31,45,48,34,15,60,12,15,43,13,11,62,73,100,91,62,18,76,92
46,32,64,48,25,13,81,14,86,45,13,73,15,64,21,80,45,28,11,34,95,94,76,74,92,55,7
10,94,31,5,16,82,77,8,78,4,77,39,92,43,18,4,29,94,72,44,4,0,57,28,77,26,29
88,28,47,25,96,55,10,28,64,64,67,98,39,22,96,63,41,31,66,23,9,56,8,73,14,21,65
92,15,58,63,50,75,6,74,2,55,55,98,35,52,60,78,47,34,17,10,13,96,7,62,38,27,90
4,55,33,92,13,40,95,21,44,94,42,20,90,2,86,39,21,2,49,72,77,67,5,31,21,34,5
22,58,30,88,65,78,56,41,30,46,84,65,71,85,81,70,8,10,23,49,45,6,31,3,97,18,86
0,22,98,15,61,43,24,2,56,75,42,8,1,70,4,50,45,75,69,37,59,22,21,83,3,93,5
13,28,8,27,83,82,55,29,54,94,84,23,58,59,48,94,21,49,97,69,47,20,21,5,2,33,69
51,40,25,2,52,76,68,95,69,89,39,26,32,28,70,28,25,39,48,61,98,26,46,70,41,43,76
42,97,84,87,93,3,88,9,77,87,13,100,24,70,45,9,71,71,66,77,33,52,14,45,42,5,38
1,24,38,70,22,3,41,41,2,73,77,23,19,15,73,53,50,66,67,51,9,65,2,95,46,31,15
7,38,1,91,46,40,22,41,46,50,10,63,1,100,62,87,84,35,9,45,27,1,81,43,78,67,35
38,80,54,92,37,77,50,38,94,64,41,45,3,16,4,20,51,20,85,49,22,28,63,68,83,9,51
80,21,29,29,24,86,68,4,60,42,24,7,0,95,72,76,96,61,90,53,56,43,54,84,46,27,65
98,8,100,41,77,29,62,9,72,72,77,58,51,96,63,15,52,31,46,84,86,16,95,88,83,84,59
43,5,52,84,68,73,12,55,3,74,5,72,3,43,64,47,71,54,16,6,100,55,53,49,65,22,21
84,43,82,51,20,86,24,18,14,7,24,12,7,67,74,98,53,21,50,53,46,59,51,88,83,26,16
28,56,30,7,3,71,11,100,52,81,39,60,52,17,77,70,94,24,8,75,76,55,79,99,44,78,54
74,31,14,28,63,35,4,48,43,21,3,67,12,83,58,39,8,68,90,65,88,50,89,71,44,76,35
83,78,36,69,6,79,95,43,51,40,30,83,88,18,47,35,48,63,25,89,91,6,37,39,48,46,49
42,25,75,91,47,27,25,23,94,38,76,65,95,47,54,68,37,71,82,92,98,88,77,27,93,97,44
84,99,21,90,82,24,36,34,62,37,18,65,92,65,3,59,53,50,86,88,90,68,99,21,53,0,28
6,38,72,45,5,50,39,4,24,64,59,10,68,46,83,99,22,41,64,20,58,92,42,17,18,81,7
66,61,65,94,7,36,20,38,22,29,61,80,66,74,69,15,90,11,63,26,53,31,72,21,91,81,76
82,83,91,23,43,36,31,14,92,80,69,31,70,1,12,45,14,46,46,68,78,28,95,72,40,21,12
91,86,91,8,33,75,90,70,38,30,31,93,32,18,44,56,5,67,10,39,54,69,14,55,34,67,70
73,11,65,43,30,44,5,82,48,98,9,10,38,3,50,3,52,82,55,91,34,0,11,28,1,48,76
20,50,96,33,1,33,80,48,87,78,72,91,92,66,73,31,6,35,55,46,58,75,62,37,43,22,61
35,49,83,47,58,4,80,20,41,59,41,65,45,73,41,38,25,9,76,44,52,19,8,50,73,51,53
69,50,87,86,80,86,55,88,65,43,39,78,10,23,72,39,31,23,96,91,46,91,85,42,54,96,74
56,75,62,10,0,2,78,25,85,74,25,69,27,67,7,65,34,98,40,49,23,92,94,88,87,83,63
85,58,85,1,83,18,25,39,4,95,67,46,90,94,98,52,13,72,50,48,85,7,96,8,53,69,32
29,87,100,0,63,62,57,58,51,2,45,23,22,88,28,70,87,13,34,28,65,85,24,68,26,58,82
11,62,59,33,41,1,21,96,20,72,53,23,39,47,48,38,80,51,67,32,47,46,13,6,54,76,74
13,74,11,75,16,84,38,17,31,56,9,68,80,33,13,9,65,32,82,0,49,75,21,89,96,23,13
19,5,18,27,8,17,51,89,14,76,76,7,30,71,1,88,73,76,19,69,85,33,9,69,65,77,13
35,34,53,35,13,38,6,71,54,64,28,79,81,76,60,35,0,38,38,48,47,11,49,63,50,49,22
31,1,35,38,44,81,50,70,88,93,55,3,93,100,65,28,41,70,23,3,78,19,15,7,35,0,22
34,68,24,60,23,66,19,56,98,7,12,5,4,49,0,28,94,80,38,61,82,28,13,55,22,99,67
71,26,58,99,89,27,27,96,81,54,92,66,2,67,3,48,23,31,47,23,17,75,26,37,63,10,61
99,29,95,2,38,9,84,66,18,74,13,65,51,65,38,71,34,91,14,98,1,18,95,75,79,23,94
82,76,86,30,32,94,76,47,9,37,26,57,64,19,89,70,49,9,5,69,42,65,10,18,90,44,5
75,19,49,5,25,41,35,84,77,49,6,74,55,25,72,39,90,73,25,93,59,3,40,22,72,49,2
88,20,50,60,34,46,2,78,46,92,58,71,46,69,25,80,53,77,40,47,77,8,2,15,36,10,28
69,26,51,52,37,45,93,82,92,89,60,2,1,63,99,28,60,60,91,76,65,48,18,84,46,76,82
91,28,80,69,68,14,31,96,100,44,28,9,24,82,49,89,42,15,74,1,42,34,48,33,10,35,83
10,27,87,4,20,53,71,69,34,22,2,2,88,93,80,63,16,13,26,70,67,23,49,84,54,51,10
99,90,91,80,17,42,83,61,55,52,50,64,1,68,8,78,40,9,32,93,1,17,68,24,16,72,18
99,14,24,86,35,45,21,71,18,34,63,60,98,21,73,26,88,12,15,68,87,78,87,29,36,43,28
66,43,85,40,36,39,78,30,87,56,63,24,17,78,57,66,97,65,64,13,29,62,15,89,23,97,86
92,59,17,65,70,38,78,54,43,91,64,17,55,52,27,50,73,15,65,20,25,56,1,34,2,99,61
41,41,66,18,92,82,86,53,10,42,16,37,74,23,3,68,68,85,79,51,95,23,29,72,68,87,72
7,67,83,87,31,66,88,34,39,74,97,79,28,42,90,24,90,57,22,78,0,52,30,48,56,66,87
67,48,44,93,84,19,32,5,83,2,60,81,84,8,58,0,39,100,39,0,25,99,93,31,66,15,93
55,65,35,75,14,49,33,36,8,54,76,56,89,42,8,99,36,87,92,61,69,29,46,2,52,20,28
55,34,63,3,71,17,82,20,0,81,99,24,17,76,20,73,27,43,84,55,71,50,17,32,14,72,40
44,11,99,52,19,19,9,31,9,6,38,77,96,93,11,22,78,54,91,98,47,98,75,37,46,92,74
2,45,83,74,76,64,68,19,5,70,53,35,54,96,97,24,13,1,86,34,24,79,55,94,41,30,94
41,24,70,72,17,25,12,56,57,96,54,65,5,53,7,16,64,60,0,1,17,17,71,92,43,77,14
48,50,32,55,19,38,74,89,33,58,61,60,44,81,19,29,23,81,7,35,75,65,15,13,48,17,60
44,84,13,37,58,35,31,10,45,90,27,68,65,13,65,11,46,43,45,24,62,11,65,33,33,88,11
35,58,19,43,88,18,75,69,36,86,62,91,1,39,6,30,70,94,15,99,64,59,68,32,17,29,50
63,31,63,26,2,19,74,19,65,28,14,79,4,54,87,16,10,96,47,79,22,59,66,82,69,95,75
7,65,100,2,15,91,91,71,5,5,79,74,12,99,81,23,47,15,6,47,43,65,16,14,5,28,88
75,67,82,65,32,78,46,14,10,39,13,88,87,96,27,31,47,32,33,2,13,73,37,91,58,64,51
93,3,5,38,43,78,25,97,100,27,85,9,39,42,29,55,37,82,72,4,64,60,85,82,98,58,11
22,88,16,7,50,51,75,52,72,31,32,40,7,93,55,68,84,50,73,82,7,21,87,99,76,61,77
7,18,35,1,95,13,28,24,80,80,49,69,55,93,87,17,100,76,26,21,86,100,64,19,79,17,54
15,76,62,90,32,68,11,58,25,8,18,25,37,28,76,79,59,64,24,62,55,24,87,57,27,85,14
91,43,63,27,92,38,14,56,61,71,16,55,80,82,78,79,98,0,33,65,5,85,53,24,69,84,14
78,96,14,49,28,52,4,60,98,96,85,67,21,32,5,28,21,12,25,81,28,5,35,9,97,56,20
41,37,41,60,11,46,58,73,100,53,3,70,70,15,81,65,28,50,84,4,82,1,91,36,56,100,32
20,87,91,13,47,99,73,49,19,53,27,4,2,94,30,61,97,27,57,9,87,53,45,36,80,77,89
51,96,69,92,44,35,28,75,76,29,99,42,72,100,24,9,2,28,4,54,83,9,63,83,38,64,95
79,85,60,16,86,20,99,29,72,100,61,34,37,92,90,35,59,64,15,94,47,65,20,60,13,10,46
75,50,26,95,36,92,56,2,86,2,59,66,48,97,64,30,64,49,73,66,86,79,6,14,58,13,62
92,80,76,57,62,21,90,39,21,80,72,52,17,57,37,22,39,93,36,74,96,8,94,34,37,92,38
41,25,77,59,36,58,33,17,79,60,66,59,35,36,38,46,83,64,91,99,15,85,32,92,63,33,29
46,77,3,58,65,24,88,94,32,76,77,59,84,19,32,4,76,90,12,44,94,90,100,4,69,25,99
21,27,90,3,48,95,64,33,41,83,38,20,87,38,67,42,99,70,92,82,61,22,22,97,68,100,49
90,46,93,55,72,35,62,66,6,24,89,40,88,55,99,93,70,84,68,3,43,63,47,2,40,76,77
73,10,60,21,44,24,97,71,57,85,5,64,45,56,78,57,40,58,45,97,30,67,31,15,32,10,36
15,42,59,82,47,80,73,35,29,97,37,49,90,75,3,40,3,50,46,61,16,30,33,16,93,52,58
7,87,13,7,42,21,61,86,43,1,9,99,63,79,35,100,41,68,0,48,55,56,100,74,68,20,70
3,51,93,53,48,55,62,35,93,23,12,66,26,98,89,66,17,27,55,56,18,91,77,20,88,74,73
18,66,33,12,16,5,34,0,66,56,68,18,65,62,82,36,13,23,33,61,100,95,73,67,34,15,73
3,16,9,42,82,81,67,47,69,35,94,38,55,82,40,16,40,90,72,0,72,78,20,42,8,41,49
74,5,92,23,52,95,96,59,82,29,46,72,55,46,95,70,31,76,86,60,24,74,55,55,24,44,93
85,86,19,89,15,33,34,43,29,37,40,71,43,29,42,41,39,89,95,39,89,79,11,80,77,6,56
51,87,23,7,77,48,97,37,45,29,1,13,85,62,1,39,40,41,92,58,13,12,74,5,88,48,46
5,16,25,42,22,38,48,83,17,17,14,87,1,94,91,91,79,65,89,47,99,53,76,63,99,100,13
50,7,60,82,63,95,59,83,2,33,15,35,11,22,53,22,58,45,9,69,27,33,52,88,100,20,59
2,69,82,75,71,67,15,70,79,40,30,27,38,29,12,56,11,26,100,5,87,49,69,54,84,97,79
29,24,1,40,92,47,35,28,100,87,77,16,72,8,100,21,69,85,91,67,27,57,18,35,16,22,5
59,79,72,42,87,52,68,44,13,87,25,67,18,10,91,14,12,30,26,42,55,59,38,84,96,56,1
13,68,97,93,97,24,22,14,52,0,7,25,76,99,76,76,53,33,35,89,28,20,39,2,1,99,46
69,86,8,26,80,83,89,46,6,33,99,62,97,64,0,86,17,96,19,83,49,0,93,89,76,11,72
78,72,98,88,51,90,59,42,98,41,7,34,78,91,16,45,2,36,11,22,31,55,9,2,81,70,46
0,29,2,92,17,13,73,98,71,84,37,23,91,11,2,33,57,50,11,63,17,83,45,43,69,75,56
4,94,65,58,19,33,37,68,62,55,41,63,37,97,10,52,31,42,1,62,70,56,97,41,26,4,63
15,22,36,45,18,82,36,48,82,65,31,97,84,58,8,58,55,59,55,2,94,21,6,57,47,44,92
28,50,18,20,22,61,80,47,66,85,31,7,85,33,68,67,41,43,21,76,12,47,40,81,9,56,46
57,45,61,49,0,62,83,37,53,95,47,46,31,68,87,53,60,13,89,29,55,1,74,79,19,63,79
4,72,21,34,42,75,36,94,44,60,40,25,92,80,34,10,84,41,63,11,19,56,17,74,70,65,12
62,100,88,82,89,78,17,91,23,71,86,84,34,13,68,79,92,36,16,73,28,92,72,23,49,15,38
2,92,74,18,5,34,99,15,36,77,90,69,81,4,34,58,59,34,72,91,87,69,36,58,55,67,82
18,99,5,57,44,53,53,70,50,96,24,62,60,82,85,100,66,42,82,66,96,99,17,44,54,37,65
74,31,25,97,5,31,15,96,63,25,94,66,53,11,28,75,51,92,36,6,78,61,57,82,18,47,63
84,63,22,11,40,84,74,26,18,88,19,73,39,93,64,32,34,15,95,98,95,31,50,96,75,3,72
17,34,62,83,6,9,29,15,32,29,60,92,73,33,48,89,70,20,8,51,78,36,33,59,11,99,76
56,11,21,43,35,81,77,15,77,8,29,70,59,14,48,22,9,35,46,15,71,36,34,60,97,39,57
100,75,34,47,55,27,30,19,99,100,79,58,71,72,17,12,56,78,96,92,28,42,59,11,96,42,36
56,76,51,4,84,40,9,90,20,84,67,34,40,97,20,3,93,22,94,24,24,17,73,72,36,82,96
24,2,96,9,19,82,62,8,59,52,34,42,90,5,41,83,56,52,32,83,57,50,11,75,88,64,92
79,46,85,59,65,96,43,31,44,36,16,67,62,91,94,95,93,67,0,97,38,64,17,41,1,49,24
89,18,70,8,53,96,51,26,3,58,91,31,47,98,63,85,72,66,57,3,44,97,29,97,91,92,16
12,11,92,8,57,90,17,68,62,36,66,1,46,31,62,81,18,99,57,22,12,61,12,94,100,15,51
69,76,19,85,72,85,68,40,6,47,89,81,40,44,80,42,2,92,14,69,18,85,6,11,50,30,76
13,32,66,34,35,96,92,69,83,47,91,14,59,0,59,22,87,96,56,52,60,19,81,72,98,27,95
16,85,98,50,32,97,33,18,30,18,93,95,71,68,75,12,47,5,85,76,27,31,27,78,26,64,28
0,8,76,74,22,29,4,21,15,68,13,29,35,52,78,15,74,37,67,80,53,36,51,1,86,45,74
25,70,17,12,78,65,65,72,52,70,43,99,63,6,67,94,18,29,21,95,6,29,99,10,75,25,47
24,8,62,61,55,50,88,42,9,22,99,72,36,73,84,35,93,67,91,15,46,31,85,20,95,52,47
66,45,49,99,21,13,26,85,100,80,43,99,40,81,88,48,37,2,22,84,52,32,31,7,69,20,49
71,22,13,45,43,60,58,69,29,74,93,95,96,50,18,10,58,34,43,61,27,87,24,20,72,57,21
88,32,15,95,58,68,39,67,32,51,79,17,98,8,58,28,90,39,84,8,28,16,59,25,36,87,10
61,41,34,97,98,82,18,5,12,58,68,23,70,97,88,64,78,57,93,93,61,81,78,78,24,30,73
88,99,66,31,68,50,40,12,45,89,8,90,22,67,84,90,98,17,32,27,92,92,0,3,10,54,34
60,32,53,95,78,64,93,98,93,36,30,95,86,17,40,38,48,41,85,59,54,51,55,52,30,82,19
9,22,47,18,12,34,72,55,19,68,71,44,68,72,16,37,57,73,42,12,26,77,68,93,24,62,20
37,56,71,28,84,40,84,99,79,52,49,76,65,40,10,51,79,29,91,39,91,41,40,23,29,36,87
35,85,87,27,84,67,31,21,96,56,68,74,91,69,26,79,59,38,25,60,66,93,17,17,16,3,23
42,59,59,31,76,27,27,58,71,87,83,51,54,85,28,47,52,69,10,30,48,55,54,56,50,34,30
40,86,21,37,25,61,20,90,19,51,43,9,44,42,74,58,54,15,86,38,19,77,21,90,30,1,83
68,74,72,77,12,74,9,57,1,31,41,28,49,77,16,1,56,46,4,9,77,56,35,27,91,85,15
9,68,27,100,67,83,91,65,48,67,5,71,22,71,50,79,51,79,50,36,93,81,87,36,93,25,80
65,8,99,11,98,15,72,7,45,97,36,40,63,25,15,90,2,14,95,90,54,58,61,90,64,64,97
41,30,71,31,68,58,60,12,39,74,87,46,88,95,77,21,78,38,48,43,15,7,71,58,84,10,4
0,2,42,88,47,91,87,54,29,2,31,19,19,53,33,45,56,67,5,35,73,10,58,2,13,82,97
